State,Population
Alabama,17464
Alaska,1746
Arizona,60013
Arkansas,12256
California,56627
Colorado,3920
Connecticut,7964
Delaware,148567
District of Columbia,601723
Florida,19540
Georgia,13790
Hawaii,154834
Idaho,4192
Illinois,5274
Indiana,1281
Iowa,2967
Kansas,31
Kentucky,14730
Louisiana,9616
Maine,12529
Maryland,620961
Massachusetts,181045
Michigan,1072
Minnesota,231
Mississippi,16064
Missouri,319294
Montana,36892
Nebraska,3441
Nevada,55274
New Hampshire,1123
New Jersey,4882
New Mexico,46901
New York,974
North Carolina,16125
North Dakota,24
Ohio,1124
Oklahoma,6314
Oregon,23546
Pennsylvania,709
Rhode Island,22787
South Carolina,127424
South Dakota,1479
Tennessee,62655
Texas,4539
Utah,14074
Vermont,2148
Virginia,26203
Washington,83889
West Virginia,20175
Wisconsin,796
Wyoming,2576
