State,Avg Max Temp (°F)
Florida,81.97
Hawaii,80.66
Arizona,80.59
Texas,77.73
Louisiana,77.33
Mississippi,74.67
Alabama,74.31
Georgia,73.9
South Carolina,73.58
California,73.36
Oklahoma,72.04
Nevada,71.64
Arkansas,71.42
North Carolina,70.16
Tennessee,69.3
New Mexico,68.66
Kentucky,66.98
Virginia,66.77
Kansas,66.58
Missouri,65.53
Maryland,65.08
District of Columbia,65.02
Delaware,64.62
West Virginia,64.51
Utah,62.85
New Jersey,62.4
Oregon,62.36
Nebraska,61.91
Indiana,61.91
Illinois,61.51
Ohio,60.94
Colorado,60.84
Pennsylvania,60.31
Washington,60.09
Rhode Island,59.56
Idaho,59.31
Connecticut,59.27
Massachusetts,58.61
Iowa,58.57
New York,58.01
Wyoming,57.63
Montana,57.27
South Dakota,57.26
Michigan,56.48
New Hampshire,55.69
Wisconsin,54.96
Vermont,54.48
Maine,53.65
Minnesota,53.41
North Dakota,52.13
Alaska,39.8
