State,Avg Min Temp (°F)
Hawaii,65.09
Florida,61.5
Louisiana,56.07
Texas,54.16
Mississippi,52.26
Arizona,51.31
Alabama,51.01
Georgia,50.69
South Carolina,49.82
California,48.97
Arkansas,48.72
Oklahoma,48.17
North Carolina,47.21
Tennessee,46.9
District of Columbia,44.54
Virginia,44.26
Kentucky,44.25
Delaware,44.21
Maryland,44.19
Missouri,43.84
Nevada,42.75
Kansas,42.72
Indiana,41.65
West Virginia,41.61
New Jersey,41.45
Illinois,41.18
Ohio,40.79
Washington,40.76
Oregon,40.11
Pennsylvania,39.29
Rhode Island,39.02
New York,38.34
Connecticut,37.95
Nebraska,37.82
Iowa,37.67
Massachusetts,37.63
New Mexico,37.46
Michigan,36.73
Utah,36.27
Wisconsin,34.44
South Dakota,33.78
Idaho,33.29
New Hampshire,33.23
Vermont,32.96
Maine,32.53
Minnesota,32.49
Colorado,31.65
Montana,31.05
North Dakota,29.38
Wyoming,29.22
Alaska,24.23
